type,time,reclat,reclon,altitude (ft),eos,name,desc
T,10/15/2020 14:39,42.89941125,-78.87321884,670.3,1,,
T,10/16/2020 13:15,42.95354561,-78.81944256,691.9,1,,
T,10/12/2020 22:19,42.89960797,-78.87310719,659.6,1,,
T,10/13/2020 21:25,42.95038269,-78.82315792,684.6,1,,
T,10/15/2020 14:47,42.89944142,-78.87322018,671.4,1,,
T,10/16/2020 13:16,42.95355383,-78.81946514,691.9,1,,
T,10/12/2020 22:19,42.89959049,-78.87309579,659.4,1,,
T,10/13/2020 21:25,42.95037804,-78.82312473,682.9,1,,
T,10/15/2020 14:47,42.89945571,-78.87320166,665.6,1,,
T,10/16/2020 13:16,42.9535429,-78.81949005,691.9,1,,
T,10/12/2020 22:20,42.89957109,-78.87307408,668.6,1,,
T,10/13/2020 21:25,42.95036379,-78.82310813,683.9,1,,
T,10/15/2020 14:48,42.89947373,-78.87320694,677.5,1,,
T,10/16/2020 13:16,42.9535515,-78.81946784,691.9,1,,
T,10/12/2020 22:20,42.89955487,-78.87306159,663.1,1,,
T,10/13/2020 21:25,42.95035633,-78.82310059,684.4,1,,
T,10/15/2020 14:48,42.89948077,-78.87323108,673.8,1,,
T,10/16/2020 13:16,42.95356058,-78.81940426,691.9,1,,
T,10/12/2020 22:20,42.8995643,-78.87306897,661.5,1,,
T,10/13/2020 21:25,42.95031765,-78.82312414,684.2,1,,
T,10/15/2020 14:48,42.89949498,-78.87324834,671.4,1,,
T,10/16/2020 13:16,42.95355921,-78.81945633,691.9,1,,
T,10/12/2020 22:20,42.89954632,-78.87309244,665.8,1,,
T,10/13/2020 21:25,42.95031563,-78.82313252,684.4,1,,
T,10/15/2020 14:48,42.89952092,-78.87323787,668.4,1,,
T,10/16/2020 13:16,42.95356199,-78.81940095,691.9,1,,
T,10/12/2020 22:20,42.89956384,-78.87307006,664.8,1,,
T,10/13/2020 21:26,42.95031534,-78.82316203,682.4,1,,
T,10/15/2020 14:48,42.89953174,-78.87319059,663.6,1,,
T,10/16/2020 13:16,42.95355955,-78.81945473,691.9,1,,
T,10/12/2020 22:20,42.89958802,-78.8730652,665.5,1,,
T,10/13/2020 21:26,42.95030847,-78.82319053,682.2,1,,
T,10/15/2020 14:48,42.89953077,-78.87315556,663.5,1,,
T,10/16/2020 13:17,42.95354208,-78.81949462,691.9,1,,
T,10/12/2020 22:20,42.89960655,-78.87305246,664.8,1,,
T,10/13/2020 21:26,42.95032812,-78.82317443,683.2,1,,
T,10/15/2020 14:49,42.89950915,-78.873174,671.4,1,,
T,10/16/2020 13:17,42.95356574,-78.81946626,691.9,1,,
